,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
185,Andhra Pradesh,2020,2,west godavari district,7273096,16585866855.159784,TOTAL
186,Andhra Pradesh,2020,2,kurnool district,9821381,22419372061.805172,TOTAL
187,Andhra Pradesh,2020,2,chittoor district,14848197,27361300300.01902,TOTAL
188,Andhra Pradesh,2020,2,guntur district,12308707,27463593607.839108,TOTAL
189,Andhra Pradesh,2020,2,krishna district,12313709,26964149095.366295,TOTAL
190,Andhra Pradesh,2020,3,east godavari district,17972431,39300043804.75851,TOTAL
191,Andhra Pradesh,2020,3,srikakulam district,8286289,18029574581.337425,TOTAL
192,Andhra Pradesh,2020,3,spsr nellore district,16468209,39128324534.03022,TOTAL
193,Andhra Pradesh,2020,3,vizianagaram district,8236703,17567816576.501263,TOTAL
194,Andhra Pradesh,2020,3,visakhapatnam district,34421299,67628440368.111465,TOTAL
195,Andhra Pradesh,2020,3,prakasam district,12266310,31221704852.44969,TOTAL
196,Andhra Pradesh,2020,3,anantapur district,14447683,34102037972.65785,TOTAL
197,Andhra Pradesh,2020,3,ysr district,11934653,32037007334.12973,TOTAL
198,Andhra Pradesh,2020,3,west godavari district,10412351,25408608725.754295,TOTAL
199,Andhra Pradesh,2020,3,kurnool district,13243292,32529351107.17173,TOTAL
200,Andhra Pradesh,2020,3,chittoor district,20501863,42811566246.16463,TOTAL
201,Andhra Pradesh,2020,3,guntur district,17601395,42531195809.75448,TOTAL
202,Andhra Pradesh,2020,3,krishna district,19110457,44788458672.084435,TOTAL
203,Andhra Pradesh,2020,4,east godavari district,25989490,58732615663.118416,TOTAL
204,Andhra Pradesh,2020,4,srikakulam district,11092184,25222520275.27882,TOTAL
205,Andhra Pradesh,2020,4,spsr nellore district,20934374,49115443663.37911,TOTAL
206,Andhra Pradesh,2020,4,vizianagaram district,10580824,24094847668.445065,TOTAL
207,Andhra Pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399,TOTAL
208,Andhra Pradesh,2020,4,prakasam district,16176867,41852443493.515396,TOTAL
209,Andhra Pradesh,2020,4,anantapur district,20996384,49732610814.26222,TOTAL
210,Andhra Pradesh,2020,4,ysr district,15676878,42572974713.44026,TOTAL
211,Andhra Pradesh,2020,4,west godavari district,15674762,40310975762.603455,TOTAL
212,Andhra Pradesh,2020,4,kurnool district,18737323,44718203115.22612,TOTAL
213,Andhra Pradesh,2020,4,chittoor district,29590411,61505711149.79541,TOTAL
214,Andhra Pradesh,2020,4,guntur district,26136538,60641872021.25432,TOTAL
215,Andhra Pradesh,2020,4,krishna district,27981050,64461504667.60723,TOTAL
216,Andhra Pradesh,2021,1,east godavari district,26190701,60027984987.96951,TOTAL
217,Andhra Pradesh,2021,1,srikakulam district,11160473,26486623313.092724,TOTAL
218,Andhra Pradesh,2021,1,spsr nellore district,22541428,52210333201.53073,TOTAL
219,Andhra Pradesh,2021,1,vizianagaram district,10514582,24153782497.243248,TOTAL
220,Andhra Pradesh,2021,1,visakhapatnam district,48248923,95308386037.84721,TOTAL
221,Andhra Pradesh,2021,1,prakasam district,15175395,41396223622.174774,TOTAL
222,Andhra Pradesh,2021,1,anantapur district,20102957,48353870395.01808,TOTAL
223,Andhra Pradesh,2021,1,ysr district,15374473,42570919448.50447,TOTAL
224,Andhra Pradesh,2021,1,west godavari district,16015685,42124030669.36126,TOTAL
225,Andhra Pradesh,2021,1,kurnool district,17918524,44941629659.56964,TOTAL
226,Andhra Pradesh,2021,1,chittoor district,29342609,60947491846.66089,TOTAL
227,Andhra Pradesh,2021,1,guntur district,27445045,64207987853.108406,TOTAL
228,Andhra Pradesh,2021,1,krishna district,29717175,69715406644.53485,TOTAL
229,Andhra Pradesh,2021,2,east godavari district,31717908,74604325863.66068,TOTAL
230,Andhra Pradesh,2021,2,srikakulam district,13546232,32298129544.540867,TOTAL
231,Andhra Pradesh,2021,2,spsr nellore district,30290406,72283071757.09679,TOTAL
232,Andhra Pradesh,2021,2,vizianagaram district,12689494,29140685236.830723,TOTAL
233,Andhra Pradesh,2021,2,visakhapatnam district,54390299,114439012713.35336,TOTAL
234,Andhra Pradesh,2021,2,prakasam district,19944047,54535328043.04135,TOTAL
235,Andhra Pradesh,2021,2,anantapur district,25123346,60987487571.279915,TOTAL
236,Andhra Pradesh,2021,2,ysr district,18457361,52523527031.02132,TOTAL
