,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_Type
271,Arunanchal Pradesh,2018,2,west kameng,10466,25521321.34140157,TOTAL
272,Arunanchal Pradesh,2018,2,lohit,6962,20520618.881890118,TOTAL
273,Arunanchal Pradesh,2018,2,east siang,6363,15285584.202916935,TOTAL
274,Arunanchal Pradesh,2018,2,changlang,6066,13294258.50337311,TOTAL
275,Arunanchal Pradesh,2018,2,tawang,5447,13722374.811357912,TOTAL
276,Arunanchal Pradesh,2018,2,longding,4634,10271170.165521314,TOTAL
277,Arunanchal Pradesh,2018,2,namsai,3230,6271811.327635023,TOTAL
278,Arunanchal Pradesh,2018,2,west siang,2579,7610989.567485569,TOTAL
279,Arunanchal Pradesh,2018,2,lower siang,2292,2179451.657976534,TOTAL
280,Arunanchal Pradesh,2018,3,papum pare,43282,101080479.2917223,TOTAL
281,Arunanchal Pradesh,2018,3,west kameng,17026,48528147.45054105,TOTAL
282,Arunanchal Pradesh,2018,3,lohit,11595,32702331.664437763,TOTAL
283,Arunanchal Pradesh,2018,3,east siang,10539,24885270.773230057,TOTAL
284,Arunanchal Pradesh,2018,3,changlang,10162,20494174.949715402,TOTAL
285,Arunanchal Pradesh,2018,3,tawang,8715,25733824.994109266,TOTAL
286,Arunanchal Pradesh,2018,3,longding,5288,18327334.050755527,TOTAL
287,Arunanchal Pradesh,2018,3,namsai,5076,10698272.774381302,TOTAL
288,Arunanchal Pradesh,2018,3,west siang,3337,12966152.792519316,TOTAL
289,Arunanchal Pradesh,2018,3,tirap,3322,7479257.007852319,TOTAL
290,Arunanchal Pradesh,2018,4,papum pare,55224,154875448.20778143,TOTAL
291,Arunanchal Pradesh,2018,4,west kameng,25439,89194886.84322134,TOTAL
292,Arunanchal Pradesh,2018,4,lohit,14268,40510521.949797615,TOTAL
293,Arunanchal Pradesh,2018,4,changlang,13950,32343047.413952358,TOTAL
294,Arunanchal Pradesh,2018,4,east siang,12893,34272134.344916776,TOTAL
295,Arunanchal Pradesh,2018,4,tawang,11104,35921510.89403269,TOTAL
296,Arunanchal Pradesh,2018,4,namsai,7244,17643523.29373534,TOTAL
297,Arunanchal Pradesh,2018,4,longding,6581,22545311.85089966,TOTAL
298,Arunanchal Pradesh,2018,4,tirap,5725,10811742.670586085,TOTAL
299,Arunanchal Pradesh,2018,4,lower dibang valley,4227,10951332.393937869,TOTAL
300,Arunanchal Pradesh,2019,1,papum pare,70941,188556716.3567257,TOTAL
301,Arunanchal Pradesh,2019,1,west kameng,34289,101333633.67604163,TOTAL
302,Arunanchal Pradesh,2019,1,changlang,17589,40239141.669717625,TOTAL
303,Arunanchal Pradesh,2019,1,lohit,15896,42834776.778045304,TOTAL
304,Arunanchal Pradesh,2019,1,east siang,15621,39284373.05409969,TOTAL
305,Arunanchal Pradesh,2019,1,tawang,13102,39489779.13784294,TOTAL
306,Arunanchal Pradesh,2019,1,namsai,8600,20065516.616355177,TOTAL
307,Arunanchal Pradesh,2019,1,longding,7287,25349462.055245366,TOTAL
308,Arunanchal Pradesh,2019,1,tirap,6877,14075747.836402504,TOTAL
309,Arunanchal Pradesh,2019,1,lower dibang valley,6314,13738776.18143886,TOTAL
310,Arunanchal Pradesh,2019,2,papum pare,86433,246640891.34861866,TOTAL
311,Arunanchal Pradesh,2019,2,west kameng,37430,122521180.75595039,TOTAL
312,Arunanchal Pradesh,2019,2,lohit,18693,48893746.831022196,TOTAL
313,Arunanchal Pradesh,2019,2,changlang,18631,48891048.26477764,TOTAL
314,Arunanchal Pradesh,2019,2,east siang,16494,46549881.23941852,TOTAL
315,Arunanchal Pradesh,2019,2,tawang,15960,55915834.5871187,TOTAL
316,Arunanchal Pradesh,2019,2,namsai,9637,22491356.65721929,TOTAL
317,Arunanchal Pradesh,2019,2,west siang,8041,24549832.977181494,TOTAL
318,Arunanchal Pradesh,2019,2,tirap,6868,18633793.43372325,TOTAL
319,Arunanchal Pradesh,2019,2,longding,6744,23464027.892812617,TOTAL
320,Arunanchal Pradesh,2019,3,papum pare,117940,301518075.7016427,TOTAL
321,Arunanchal Pradesh,2019,3,west kameng,53939,147186019.87590763,TOTAL
322,Arunanchal Pradesh,2019,3,changlang,29218,58354823.443366826,TOTAL
323,Arunanchal Pradesh,2019,3,lohit,24505,54539458.21434432,TOTAL
324,Arunanchal Pradesh,2019,3,tawang,24097,72221026.28393415,TOTAL
325,Arunanchal Pradesh,2019,3,east siang,22611,58040119.9573143,TOTAL
326,Arunanchal Pradesh,2019,3,namsai,13453,25507641.015596062,TOTAL
327,Arunanchal Pradesh,2019,3,west siang,11889,30014806.816802975,TOTAL
328,Arunanchal Pradesh,2019,3,tirap,11249,21737827.19336869,TOTAL
329,Arunanchal Pradesh,2019,3,longding,10269,26620415.019238282,TOTAL
330,Arunanchal Pradesh,2019,4,papum pare,143272,378838002.3434037,TOTAL
331,Arunanchal Pradesh,2019,4,west kameng,66740,198205637.50055438,TOTAL
332,Arunanchal Pradesh,2019,4,changlang,33963,71874990.9639822,TOTAL
333,Arunanchal Pradesh,2019,4,tawang,30077,91949243.6071119,TOTAL
334,Arunanchal Pradesh,2019,4,lohit,29281,67502324.59236205,TOTAL
335,Arunanchal Pradesh,2019,4,east siang,26605,72075285.44344108,TOTAL
336,Arunanchal Pradesh,2019,4,namsai,18290,32501252.235055387,TOTAL
337,Arunanchal Pradesh,2019,4,tirap,16459,38467790.7269052,TOTAL
338,Arunanchal Pradesh,2019,4,west siang,14581,39460255.46641725,TOTAL
339,Arunanchal Pradesh,2019,4,lower subansiri,11806,29634357.486805215,TOTAL
340,Arunanchal Pradesh,2020,1,papum pare,180373,457430754.15953165,TOTAL
